method,duration,bias,cost,tau_p,tau_v
pHREML_AKDEc,1,0.326220703,23.40826249,86164.091,3600
AKDEc,1,0.205731721,15.47540402,86164.091,3600
AKDE,1,0.286497309,13.58544588,86164.091,3600
pHREML_wAKDEc,1,0.968944275,19.63834548,86164.091,3600
KDE,1,0.143304532,0.122556925,86164.091,3600
AKDEc,1,0.182997005,13.97045493,86164.091,3600
AKDE,1,0.364163607,12.05954933,86164.091,3600
pHREML_wAKDEc,1,0.331443543,21.68207622,86164.091,3600
KDE,1,0.082580111,0.344086885,86164.091,3600
pHREML_AKDEc,1,0.253849252,24.52766824,86164.091,3600
AKDEc,1,0.22836093,13.65416265,86164.091,3600
AKDE,1,0.229008942,13.7324059,86164.091,3600
pHREML_wAKDEc,1,0.237512077,22.9228797,86164.091,3600
KDE,1,0.0586213,0.142858744,86164.091,3600
pHREML_AKDEc,1,0.21390242,29.55189753,86164.091,3600
pHREML_AKDEc,1,0.272983321,19.32186985,86164.091,3600
AKDEc,1,0.14613934,24.52387834,86164.091,3600
pHREML_wAKDEc,1,0.281209274,19.48592496,86164.091,3600
pHREML_wAKDEc,1,0.215173246,23.46094775,86164.091,3600
KDE,1,0.147248733,0.12441802,86164.091,3600
KDE,1,0.079565985,0.310343266,86164.091,3600
AKDE,1,0.311662256,14.49876022,86164.091,3600
AKDE,1,0.208710035,15.92511678,86164.091,3600
AKDE,1,0.109352765,49.26682925,86164.091,3600
pHREML_AKDEc,1,0.175039347,40.91559267,86164.091,3600
AKDEc,1,0.134133457,14.62290478,86164.091,3600
AKDEc,1,0.197426118,24.68909931,86164.091,3600
AKDEc,1,0.073605458,18.42195606,86164.091,3600
pHREML_wAKDEc,1,0.172499488,22.53403163,86164.091,3600
KDE,1,0.143833414,0.342308998,86164.091,3600
pHREML_AKDEc,1,0.154447588,26.20333648,86164.091,3600
pHREML_AKDEc,1,0.229165257,21.85213494,86164.091,3600
AKDE,1,0.442772624,12.70079517,86164.091,3600
AKDEc,1,0.274477698,13.30000997,86164.091,3600
pHREML_wAKDEc,1,0.228113813,19.52593732,86164.091,3600
KDE,1,0.083218871,0.123893261,86164.091,3600
pHREML_wAKDEc,1,0.147792723,25.86898088,86164.091,3600
KDE,1,0.052301654,0.307697058,86164.091,3600
AKDE,1,0.176563022,14.07067823,86164.091,3600
AKDE,1,0.132985094,13.84800196,86164.091,3600
pHREML_AKDEc,1,0.331872606,21.61131048,86164.091,3600
pHREML_AKDEc,1,0.082086568,1.074094844,86164.091,3600
AKDEc,1,0.116171895,13.00609779,86164.091,3600
pHREML_wAKDEc,1,0.349508445,21.3238554,86164.091,3600
KDE,1,0.105668606,0.332668304,86164.091,3600
AKDEc,1,0.086104375,23.5643065,86164.091,3600
pHREML_wAKDEc,1,0.082496343,22.37836623,86164.091,3600
KDE,1,0.167159144,0.133682013,86164.091,3600
pHREML_AKDEc,1,0.130101423,21.3080771,86164.091,3600
AKDE,1,0.253751487,12.1784153,86164.091,3600
AKDEc,1,0.163332706,11.77317786,86164.091,3600
pHREML_AKDEc,1,0.099377443,26.2590189,86164.091,3600
pHREML_wAKDEc,1,0.129887334,20.96952033,86164.091,3600
KDE,1,0.230136783,0.324529648,86164.091,3600
AKDE,1,0.461162905,22.92271137,86164.091,3600
AKDE,1,0.995723054,13.54821205,86164.091,3600
pHREML_AKDEc,1,0.185811805,21.26639962,86164.091,3600
AKDEc,1,0.284910848,14.084939,86164.091,3600
pHREML_wAKDEc,1,0.099209417,21.60736704,86164.091,3600
KDE,1,0.062755232,0.116137028,86164.091,3600
AKDEc,1,0.590452118,14.19154668,86164.091,3600
AKDE,1,0.147023148,13.44944167,86164.091,3600
